"filename", "language", "TypeScript", "TypeScript JSX", "Markdown", "JSON", "CSS", "comment", "blank", "total"
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/AdaptiveLearning/AdaptiveLearning.compute.tsx", "TypeScript JSX", 0, 3, 0, 0, 0, 1, 2, 6
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/AdaptiveLearning/AdaptiveLearning.tsx", "TypeScript JSX", 0, 297, 0, 0, 0, 4, 23, 324
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/BossMode/BossMode.styles.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 4, 18
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/BossMode/BossMode.tsx", "TypeScript JSX", 0, 1729, 0, 0, 0, 38, 41, 1808
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/BossMode/Templates/MultipleChoiceQuestion/MultipleChoiceQuestion.tsx", "TypeScript JSX", 0, 78, 0, 0, 0, 0, 8, 86
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/BossMode/Templates/OutputQuestion/OutputQuestion.tsx", "TypeScript JSX", 0, 61, 0, 0, 0, 0, 7, 68
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/BossMode/Templates/SelectionQuestion/SelectionQuestion.tsx", "TypeScript JSX", 0, 86, 0, 0, 0, 6, 11, 103
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/BossMode/Templates/TextInputQuestion/TextInputQuestion.tsx", "TypeScript JSX", 0, 95, 0, 0, 0, 0, 8, 103
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/Cofounder/Cofounder.compute.tsx", "TypeScript JSX", 0, 107, 0, 0, 0, 0, 30, 137
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/Cofounder/Cofounder.constants.ts", "TypeScript", 111, 0, 0, 0, 0, 1, 54, 166
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/Cofounder/Cofounder.tsx", "TypeScript JSX", 0, 672, 0, 0, 0, 51, 88, 811
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/Cofounder/Experimental.compute.tsx", "TypeScript JSX", 0, 116, 0, 0, 0, 11, 16, 143
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/Cofounder/Experimental.data.tsx", "TypeScript JSX", 0, 59, 0, 0, 0, 0, 11, 70
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/Cofounder/Experimental.tsx", "TypeScript JSX", 0, 290, 0, 0, 0, 12, 29, 331
"/Users/sheilferzepeda/Desktop/robots/RobotsBuildingEducation/app/src/ProofOfWork/ActionBar/Cofounder/Roles/Roles.tsx", "TypeScript JSX", 0, 322, 0, 0, 0, 37, 38, 397
